Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Conversion Rate,CTR,Click Hour,Click Day,Click Timestamp
0.7256637168141593,1,35717.43,2,0,5,1,0.1764705882352941,0.13288627343643084,0.5794025157232704,20,0.5,0.7465564738292017
0.5486725663716814,1,47453.25,0,3,5,0,0.29411764705882354,0.12686465033529495,0.46540880503144655,20,0.0,0.005509641873281623
0.6194690265486726,0,68126.35,0,2,2,1,0.23529411764705882,0.26029834405364716,0.44261006289308175,20,0.8333333333333333,0.8484848484848513
0.7876106194690267,0,64585.73,1,2,3,2,0.3529411764705882,0.15218283837416177,0.18238993710691823,20,0.3333333333333333,0.6473829201101964
0.7433628318584071,1,21109.4,2,1,0,0,0.29411764705882354,0.19378677980019163,0.42374213836477986,20,1.0,0.19559228650138039
0.36283185840707965,1,39576.44,1,3,3,1,0.29411764705882354,0.24825509785137542,0.3333333333333333,20,0.0,0.8347107438016579
0.6194690265486726,0,64175.02,0,2,2,0,0.3529411764705882,0.2956069522375804,0.3011006289308176,20,0.8333333333333333,0.38567493112947915
0.4690265486725664,0,86262.4,0,0,2,1,0.23529411764705882,0.23511701108526073,0.5558176100628931,20,0.5,0.6694214876033087
0.4778761061946903,1,25917.02,0,3,2,0,0.1764705882352941,0.04612015875188176,0.3836477987421384,20,0.5,0.4573002754820976
0.5486725663716814,1,79881.45,0,2,4,1,0.3529411764705882,0.10400985356507458,0.21069182389937108,20,0.16666666666666666,0.25895316804408
0.5132743362831859,1,23818.88,0,0,2,0,0.11764705882352941,0.2775420829341727,0.41666666666666663,20,0.6666666666666666,0.5950413223140529
0.6814159292035398,1,84335.16,0,3,2,0,0.47058823529411764,0.22307376488298894,0.6108490566037736,20,0.3333333333333333,0.7052341597796143
0.5929203539823009,1,14832.77,2,3,3,0,0.23529411764705882,0.36403448747776107,0.38679245283018865,20,0.3333333333333333,0.5895316804407713
0.504424778761062,1,56217.3,0,1,0,0,0.1764705882352941,0.24716025728753252,0.4622641509433962,20,0.5,0.3801652892561975
0.5486725663716814,0,18577.67,1,1,3,0,0.23529411764705882,0.5315450937457233,0.2672955974842767,20,0.3333333333333333,0.9944903581267255
0.5398230088495575,0,36197.15,1,3,4,2,0.29411764705882354,0.05487888326262488,0.2641509433962264,20,0.3333333333333333,0.5509641873278284
0.6902654867256637,0,29682.04,0,3,4,0,0.5882352941176471,0.16148898316682633,0.42295597484276726,20,0.5,0.6308539944903586
0.46017699115044247,1,58803.46,2,3,1,0,0.4117647058823529,0.12440125906664841,0.5628930817610063,20,0.0,0.1597796143250676
0.5309734513274336,1,83984.08,1,1,2,0,0.11764705882352941,0.29341727110989463,0.5581761006289307,20,0.3333333333333333,0.8980716253443575
0.38053097345132747,1,84372.99,1,1,2,2,0.29411764705882354,0.17886957711783225,0.42138364779874216,20,0.0,0.4297520661157037
0.15929203539823011,0,61366.34,2,0,3,0,0.3529411764705882,0.10373614342411386,0.3278301886792453,20,0.5,0.7079889807162587
0.5752212389380531,1,64462.59,1,0,2,2,0.29411764705882354,0.3233885315450937,0.8034591194968553,20,0.6666666666666666,0.4986225895316849
0.6017699115044248,0,51481.84,2,1,3,0,0.23529411764705882,0.04762556452716573,0.4268867924528302,20,0.5,0.12947658402204354
0.3893805309734513,0,43155.09,0,3,4,1,0.23529411764705882,0.1828383741617627,0.43946540880503143,20,0.6666666666666666,0.5950413223140529
0.7964601769911503,0,40065.86,0,1,4,1,0.058823529411764705,0.3032708361844806,0.3773584905660377,20,0.6666666666666666,0.903581267217632
0.3008849557522124,0,64109.49,2,3,1,2,0.29411764705882354,0.10442041877651566,0.08726415094339622,20,0.6666666666666666,0.2865013774104668
0.49557522123893805,1,76422.96,2,0,0,2,0.47058823529411764,0.5273025865608321,0.3663522012578616,20,0.3333333333333333,0.9173553719008254
0.4690265486725664,1,55448.78,1,1,3,1,0.3529411764705882,0.7982756261119476,0.6108490566037736,20,0.3333333333333333,0.5123966942148783
0.6902654867256637,0,62817.58,0,1,2,2,0.23529411764705882,0.1432872587929383,0.4300314465408805,20,1.0,0.33057851239669844
0.6902654867256637,1,30756.85,2,0,5,1,0.0,0.3161352128096346,0.3993710691823899,20,0.0,0.39118457300275367
0.5132743362831859,1,43693.41,2,3,1,1,0.3529411764705882,0.3892158204461475,0.5220125786163522,20,0.6666666666666666,0.5371900826446279
0.5398230088495575,0,22501.59,1,0,5,1,0.23529411764705882,0.3849733132612563,0.42295597484276726,20,0.6666666666666666,0.942148760330582
0.37168141592920356,0,63582.98,2,2,3,0,0.23529411764705882,0.1736690844395785,0.5172955974842767,20,0.6666666666666666,0.24793388429752383
0.23008849557522126,1,34118.46,1,0,0,0,0.4117647058823529,0.2860270973039551,0.5235849056603774,20,0.8333333333333333,0.8677685950413263
0.4424778761061947,2,29809.49,1,1,1,0,0.4117647058823529,0.2697413439167921,0.315251572327044,20,0.8333333333333333,0.5206611570247972
0.5132743362831859,0,22150.6,2,3,5,2,0.29411764705882354,0.11687423019022855,0.4960691823899371,20,0.5,0.3801652892561975
0.6548672566371682,1,45947.1,0,3,3,2,0.29411764705882354,0.07225947721363077,0.23820754716981132,20,0.6666666666666666,0.5564738292011029
0.6548672566371682,1,51355.06,2,0,0,0,0.3529411764705882,0.39044751608047074,0.4559748427672956,20,0.6666666666666666,0.4986225895316849
0.4424778761061947,0,46982.03,2,2,2,2,0.3529411764705882,0.05706856439031066,0.1761006289308176,20,0.0,0.27548209366391063
0.45132743362831856,0,60828.37,0,2,1,0,0.1764705882352941,0.5809497741891337,0.30738993710691825,20,1.0,0.7741046831955956
0.35398230088495575,0,64288.68,0,1,4,0,0.3529411764705882,0.13890789653756672,0.3128930817610063,20,0.3333333333333333,0.5123966942148783
0.3008849557522124,0,36588.14,2,3,4,2,0.23529411764705882,0.42123990693855207,0.5259433962264151,20,0.5,0.5537190082644656
0.26548672566371684,1,23402.82,0,1,5,1,0.29411764705882354,0.47461338442589296,0.2059748427672956,20,0.0,0.7575757575757578
0.752212389380531,1,23174.34,0,2,5,1,0.1764705882352941,0.0957985493362529,0.5330188679245282,20,0.0,0.27548209366391063
0.4247787610619469,1,38731.09,1,1,5,1,0.23529411764705882,0.2743944163131244,0.5172955974842767,20,0.6666666666666666,0.44077134986225985
0.4336283185840708,0,44166.67,0,1,0,2,0.3529411764705882,0.37210893663610234,0.40094339622641506,20,1.0,0.3691460055096414
0.3274336283185841,1,65458.88,2,0,2,0,0.4117647058823529,0.20240864924045437,0.33962264150943394,20,0.0,0.08264462809917461
0.5929203539823009,1,80284.95,0,2,3,1,0.11764705882352941,0.15970986725058164,0.2688679245283019,20,0.3333333333333333,0.3002754820936673
0.2743362831858407,1,49443.9,2,1,5,2,0.23529411764705882,0.4272615300396879,0.33647798742138363,20,0.16666666666666666,0.39393939393939803
0.46017699115044247,1,39963.08,1,1,1,1,0.47058823529411764,0.29601751744902144,0.2091194968553459,20,1.0,0.3112947658402234
0.37168141592920356,1,62354.16,2,2,5,2,0.29411764705882354,0.3844258929793348,0.40566037735849053,20,0.16666666666666666,0.31680440771349794
0.5398230088495575,2,50849.01,1,3,5,0,0.29411764705882354,0.2165047214999316,0.24056603773584903,20,0.3333333333333333,0.1460055096418742
0.4247787610619469,1,55531.81,2,2,0,1,0.29411764705882354,0.13315998357739156,0.380503144654088,20,0.6666666666666666,0.055096418732780705
0.336283185840708,2,62807.1,0,1,0,2,0.4117647058823529,0.5047214999315726,0.39308176100628933,20,0.0,0.44903581267217874
0.4867256637168142,1,39949.18,2,1,1,0,0.058823529411764705,0.3414534008485014,0.24764150943396226,20,0.5,0.7079889807162587
0.5486725663716814,0,61847.07,1,1,4,0,0.29411764705882354,0.30806076365129326,0.1619496855345912,20,0.8333333333333333,0.6556473829201153
0.49557522123893805,0,62957.24,2,0,0,1,0.1764705882352941,0.3915423566443137,0.5220125786163522,20,0.3333333333333333,0.06887052341598121
